,Anzahl Personen bis 19.9,Anzahl Personen bis 24.9,Anzahl Personen bis 29.9,Anzahl Personen bis 34.9,Anzahl Personen bis 39.9,Anzahl Personen bis 44.9,Anzahl Personen bis 49.9,Anzahl Personen bis 54.9,Anzahl Personen bis 59.9,Anzahl Personen bis 64.9,Anzahl Personen bis 69.9,Anzahl Personen bis 74.9,Anzahl Personen bis 79.9,Anzahl Personen bis 84.9,Anzahl Personen bis 89.9,Anzahl Personen bis 94.9,Anzahl Personen bis 99.9,Anzahl Personen bis 119.9,Anzahl Personen bis 149.9,Anzahl Personen bis 199.9,Anzahl Personen mehr,Total Personen,Einkommen bis 19.9,Einkommen bis 24.9,Einkommen bis 29.9,Einkommen bis 34.9,Einkommen bis 39.9,Einkommen bis 44.9,Einkommen bis 49.9,Einkommen bis 54.9,Einkommen bis 59.9,Einkommen bis 64.9,Einkommen bis 69.9,Einkommen bis 74.9,Einkommen bis 79.9,Einkommen bis 84.9,Einkommen bis 89.9,Einkommen bis 94.9,Einkommen bis 99.9,Einkommen bis 119.9,Einkommen bis 149.9,Einkommen bis 199.9,Einkommen mehr,Total Einkommen
CH,15144,149961,168895,166193,188442,227151,227719,212506,186375,167050,149502,131507,117437,110311,100175,91015,86506,269538,214587,136683,114556,3231253,289344.2,3383221.9,4633747.6,5395101.3,7072875.3,9641988.9,10797937.8,11131123.4,10694011.9,10423681.2,10075981.7,9519750.5,9089731,9089257.3,8755029.1,8411252.8,8430247.8,29411879.2,28514822.6,23272354.1,41942062.9,259975402.5
ZH,1691,24352,27375,26841,29726,37487,37952,37235,33859,32038,29292,25845,22777,21373,19352,17718,16743,53645,46514,31585,30493,603893,33091.7,548592.7,750957.3,871153.5,1116113.9,1591211.6,1800019,1950856.9,1943195.2,1999419,1974061.9,1870962.5,1763186.2,1760959.2,1691069.1,1637434.3,1631658.8,5856656.9,6177020.7,5392290.4,10984670.6,53344581.4
BE,1376,18976,22434,23808,28105,33312,33004,29874,25625,22413,19503,17137,15081,13965,12570,11378,10627,31655,23572,13597,8747,416759,26276.4,427304.7,614695.9,772066.6,1053677.4,1412888.6,1562970.7,1563168.8,1468858.2,1397330.6,1313573.1,1240080.2,1166556.3,1150486.2,1098250.6,1051306.9,1035432.6,3451456.1,3128786.5,2307322,2840266.2,30082754.6
LU,590,7637,8716,8484,9855,12397,12697,11419,10032,8543,7291,6167,5467,5151,4638,4312,4098,12747,9568,5762,4235,159806,11416.1,172485.3,239234.3,275723.9,369964.8,526404,602204.1,598053.6,575431.6,532914.3,491280.5,446418.8,423293.3,424568.4,405397.9,398696.2,399284.8,1390488.7,1270360.6,977999.8,1535111.4,12066732.4
UR,63,729,767,815,982,1096,1158,1059,934,836,674,576,573,494,427,411,346,937,587,330,211,14005,1218,16464.9,21145.5,26496.5,36865.5,46583.7,54793.3,55609.6,53561,52196.7,45433.9,41706.8,44306.8,40723.7,37308.2,37973.5,33783.4,102355.3,77533,55629.4,65511.1,947199.8
SZ,372,2617,3017,2991,3539,4394,4469,4083,3494,2977,2717,2339,2122,1911,1866,1696,1565,5205,4328,3072,4325,63099,7099.7,59071.9,82798.3,97162.4,132924.6,186618.1,211952,213975.1,200441.8,185699.9,183102.2,169283.4,164288.7,157450.6,163134.2,156751,152634.1,567990.4,575756.1,525072.2,2300829.8,6494036.5
OW,160,700,781,835,961,1182,1229,1115,852,802,630,530,521,429,436,411,403,1175,788,491,402,14833,3039.2,15838.6,21438.4,27082.5,36016.9,50190.9,58204.6,58412.2,48839,50008.5,42521.8,38388.9,40371.4,35333.2,38081.4,37949.1,39229.1,127627.8,104406.7,83369.6,330505.9,1286855.7
NW,101,797,821,868,1093,1216,1395,1190,1023,946,838,723,671,612,552,533,464,1574,1292,798,849,18356,1926.9,18058.8,22496.2,28169.7,41072,51667.7,66135.5,62344.9,58770.3,59075.5,56510.4,52298.9,51913.9,50447.1,48239.6,49196,45228.8,171767.2,171839.8,135444.7,481092.4,1723696.3
GL,90,860,962,1000,1119,1297,1277,1202,1067,870,747,613,531,527,433,416,386,1129,740,395,342,16003,1719.1,19482.1,26365,32425.9,41932.6,55155.9,60637.1,62971.8,61223.6,54243.2,50404.3,44362.4,41097.8,43439.2,37798.4,38456,37634.8,122969.8,97897.6,67207.7,151484.6,1148908.9
ZG,285,1578,1821,1771,2172,2669,2778,2741,2553,2232,2129,1956,1772,1616,1580,1430,1391,4714,4383,3228,3918,48717,5431.6,35605.2,49968.5,57527.8,81550.6,113497.9,131808.2,143703.3,146636.6,139373.5,143454.3,141559.7,137237.3,133164.4,138073,132161.2,135510.8,514766.9,584372.8,551185.6,1983479.6,5500068.8
