Month,CHF,USD,JPY,GBP,EUR
1989-01,5.875,9.375,4.59375,13.0625,8.4375
1989-02,6.125,10.3125,4.75,13.4375,9.25
1989-03,5.875,10.3125,4.625,13.0625,8.75
1989-04,6.625,9.9375,4.8125,13.01563,8.625
1989-05,8.25,9.5625,5.1875,14.28125,9.25
1989-06,7.5,9.3125,5.53125,14.21875,9.5
1989-07,7,8.5625,5.375,13.875,9.25
1989-08,7.5,9,5.5625,14,9.75
1989-09,7.9375,9.1875,5.6875,14.875,10.4375
1989-10,8,8.6875,6.5625,15.375,10.8125
1989-11,7.9375,8.5,6.6875,15.25,11
1989-12,9.1875,8.375,6.9375,15.1875,11.375
1990-01,9.6875,8.375,7.0625,15.125,11.125
1990-02,9.3125,8.375,7.375,15.1875,11.125
1990-03,9,8.5,7.4375,15.25,10.1875
1990-04,9.375,8.6875,7.4375,15.375,10.6875
1990-05,8.8125,8.375,7.375,15.1875,10.25
1990-06,9,8.375,7.75,15,10.375
1990-07,8.95313,7.98438,7.8125,15.0625,10.0625
1990-08,8.625,8.0625,8.25,15,10.21875
1990-09,8.25,8.3125,8.5,15,10.25
1990-10,8.3125,8.0625,8.25,13.6875,9.9375
1990-11,8.9375,8.3125,8.4375,13.625,10.375
1990-12,8.75,7.57813,8.25,14.0625,10.5625
1991-01,8.125,7.0625,8.25,14,10.1875
1991-02,8.25,6.875,8.1875,12.75,9.5625
1991-03,8.625,6.375,7.90625,12.5,9.5625
1991-04,8.625,6.1875,8.0625,11.8125,9.625
1991-05,8,6.0625,7.75,11.39063,9.9375
1991-06,8,6.1875,7.9375,11.375,10.0625
1991-07,7.9375,6.0625,7.39063,11.1875,10.10156
1991-08,8.0625,5.6875,7.25,10.875,9.8125
1991-09,8.25,5.625,6.625,10.375,10
1991-10,8.375,5.25,6.25,10.5,9.9375
1991-11,8.125,5,6.125,10.6875,10.34375
1991-12,8.1875,4.25,5.5625,11,10.59375
1992-01,7.5,4.1875,5.1875,10.74219,10.5
1992-02,7.6875,4.25,5.1875,10.375,10.0625
1992-03,8.9375,4.36719,4.8125,10.875,10.1875
1992-04,8.875,4.0625,4.75,10.625,10.25
1992-05,9.4375,4.0625,4.75,10.0625,10.25
1992-06,9.25,3.9375,4.5625,10.1875,10.6875
1992-07,8.625,3.4375,4.125,10.375,11.125
1992-08,7.875,3.5,3.9375,10.625,11.32031
1992-09,6.98438,3.26563,3.9375,9.0625,12.625
1992-10,6.375,3.5625,3.8125,7.625,10.375
1992-11,6.70313,4,3.8125,7.4375,11.35156
1992-12,6,3.4375,3.8125,7.07031,10.29688
1993-01,5.4375,3.25,3.53125,6.375,9.92188
1993-02,5.5,3.21094,3.3125,6.25,9.6875
1993-03,5.1875,3.25,3.3125,6,9.125
1993-04,5.125,3.1875,3.25,6.1875,8.46094
