,Prozent Personen 0,Prozent Personen 50,Prozent Personen 100,Prozent Personen 200,Prozent Personen 500,Prozent Personen 1000,Prozent Personen 2000,Prozent Personen 3000,Prozent Personen 5000,Prozent Personen 10000,Prozent Personen mehr,Prozent Vermögen 0,Prozent Vermögen 50,Prozent Vermögen 100,Prozent Vermögen 200,Prozent Vermögen 500,Prozent Vermögen 1000,Prozent Vermögen 2000,Prozent Vermögen 3000,Prozent Vermögen 5000,Prozent Vermögen 10000,Prozent Vermögen mehr
CH,25.0272070428631,30.8540886835713,9.53044726268387,10.0631667248058,12.5590472994506,6.55405084526251,3.23587670011385,0.908213728208607,0.624991444736997,0.385735382406691,0.257174885896667,0,1.60406351073015,2.14776601132479,4.50084849616546,12.5240332694097,14.1513212177586,13.7349302577821,6.78922696431581,7.33036062345786,8.11658538823219,29.1008642608233
ZH,23.564559112769,27.7735288037136,9.31402730063117,9.83843982191213,13.1703007633467,8.09201733882675,4.77845773915165,1.45405289991538,1.02001737497755,0.606994501689485,0.387604343066559,0,1.1701329073467,1.58585167560281,3.30660749719273,9.93258983472014,13.2383999611908,15.332048423137,8.16228173639851,8.97619201870756,9.55273732440874,28.743158621295
BE,23.6204428311262,33.6779842866375,9.59065484711783,10.0972731966891,12.6888030697022,6.19877001660385,2.67346692680393,0.664617724994512,0.420507143983501,0.229732947043927,0.137747009297537,0,2.28678122517575,2.9251289853649,6.07719702209749,16.9609222312735,17.8365988822056,15.0896389187826,6.64168277536411,6.59005040443184,6.48499910776849,19.1070004475357
LU,19.660676953287,35.0652153672967,10.4272643401864,10.5292559269385,12.8467079147164,6.31670715295352,3.02546827257569,0.852751233632678,0.620836754212972,0.388075871583705,0.267040212616486,0,1.89132343706466,2.36474185388495,4.76388907911651,12.98222247931,13.8162164976082,13.0237043224219,6.5413873035904,7.451625222289,8.34696328527321,28.8179265194411
UR,6.97901415324549,32.4681662895426,12.9952526731443,14.579173876392,19.6636940414393,8.76258928967567,3.16340565242469,0.64332934025467,0.390434358223524,0.23958471981898,0.115355605838768,0,2.26377411462985,3.50389563944198,7.84388660457595,23.364718866357,22.1185945143342,15.7801854073383,5.78059747296357,5.38072152197079,6.20275807066286,7.76086778772553
SZ,10.2527631149182,30.9542624142618,9.60900211777349,11.0387626302536,16.3458397867476,10.1063101221144,6.0214306034074,1.89545995722308,1.49297763167599,1.11156767919419,1.17162394243028,0,0.516642131687703,0.690038607666132,1.57732749741896,5.27652995386632,7.01654905412098,8.22709079605932,4.53221717863752,5.61026103007894,7.59555015672647,58.9577935937377
OW,13.8399874253379,33.81798176674,12.1463376296762,13.6474379126061,15.1524677774285,6.51524677774285,2.78214397988054,0.750550141464948,0.561930210625589,0.49119773656083,0.294718641936498,0,1.47781779822839,2.15027163639619,4.84168572657107,11.7049337601358,10.9013358241659,9.2569023657419,4.49070767898788,5.27955605153955,8.70072063145628,41.1960685267771
NW,9.36779471922648,32.6961695797694,11.0078095946449,12.182967645965,15.8720714020082,9.38267013759762,5.04648568240982,1.50985496467088,1.02268501301599,1.04871699516549,0.862774265526218,0,0.559735640063226,0.77261078042296,1.701782672893,4.95474992157702,6.3198547313339,6.76690596078739,3.5734166064262,3.75754668029082,7.1920235156581,64.4013734905474
GL,17.8850627311902,31.8041414025855,11.3755100484308,12.6949624375548,14.3004232925295,7.36376463409984,2.94779392136674,0.781756473324944,0.438546314304237,0.228806772680471,0.179231971933036,0,2.10396343529832,3.12186242748574,6.87987447680241,17.3102443151959,19.258558071555,14.9649834571504,7.07430351999832,6.10353134010883,5.67338500937237,17.5092939470327
ZG,14.5008048089113,28.2024984687264,9.69616683047733,10.9952566129653,15.0606099454439,9.96681053516232,5.99404583849693,2.04407219064712,1.45008048089113,1.11533695141233,0.974317336865946,0,0.604773346459352,0.865457730677748,1.95611947471331,6.00224368808148,8.60282155868409,10.1571712144905,6.08528712843901,6.79116322111513,9.6122636460063,49.3226989913331
