Kanton,Anteil Personen,Anteil Vermögen,Durchschnittsvermögen,Kein Vermögen
CH,0.257174885896667,29.1008642608233,36.6252923720765,25.0272070428631
ZH,0.387604343066559,28.743158621295,32.0444873214806,23.564559112769
BE,0.137747009297537,19.1070004475357,33.544744952862,23.6204428311262
LU,0.267040212616486,28.8179265194411,34.3681201299525,19.660676953287
UR,0.115355605838768,7.76086778772553,18.2273113461538,6.97901415324549
SZ,1.17162394243028,58.9577935937377,51.1589073444245,10.2527631149182
OW,0.294718641936498,41.1960685267771,57.381966,13.8399874253379
NW,0.862774265526218,64.4013734905474,77.3804154008621,9.36779471922648
GL,0.179231971933036,17.5092939470327,25.9576036595745,17.8850627311902
ZG,0.974317336865946,49.3226989913331,41.3873104223984,14.5008048089113
FR,0.076392477587795,21.1374186857918,43.4597001397059,34.3659424360213
SO,0.103988709797222,21.6846017538937,31.1469496011905,40.7140558072743
BS,0.321594473339421,51.5316101018191,69.3897001753086,25.7656727676976
BL,0.186678526702637,26.6075158113851,33.9750903855799,29.9481513559064
SH,0.108468748720887,12.2017715517005,28.7592982264151,24.646964921616
AR,0.367541491988744,29.3497691138413,30.61668959375,11.746970654109
AI,0.491819733012145,25.4660009778837,22.4677838979592,13.5601726387634
SG,0.202985312633925,19.1926836843098,29.5446833175123,13.5169613995688
GR,0.206106870229008,17.1354717029808,27.0258706353276,14.1403405754551
AG,0.147749753822215,15.872615362377,30.9672480048553,20.5739049371687
TG,0.195013765677577,20.2573963184878,32.3919794117647,19.0597277454879
TI,0.180379849225095,21.307927892956,26.6256694372197,31.6902319862814
VD,0.220578308731835,26.1680023755215,36.0449488516598,29.7405459084325
VS,0.063810656379615,11.7963349182213,30.4378452102273,30.1276938248688
NE,0.116255608612523,15.4083535738336,21.9591257107438,32.548688041045
GE,0.475292537390541,44.8563611237332,36.722267068323,38.7009162665919
JU,0.086333419666753,18.6043194900138,31.013875,40.2745402745403
