id;Beschreibung;Zürich;Bern / Berne;Luzern;Uri;Schwyz;Obwalden;Nidwalden;Glarus;Zug;Fribourg / Freiburg;Solothurn;Basel-Stadt;Basel-Landschaft;Schaffhausen;Appenzell Ausserrhoden;Appenzell Innerrhoden;St. Gallen;Graubünden / Grigioni / Grischun;Aargau;Thurgau;Ticino;Vaud;Valais / Wallis;Neuchâtel;Genève;Jura
6080;27.11.2016 Atomausstiegsinitiative;45.9;43.5;44.3;39.8;47.2;49.9;49.3;38.6;51;45.3;45.1;52.9;42.7;63;44.9;38.5;44;43.6;43.7;43.8;44.2;47.9;48.3;45.2;45.4;42.1
6070;25.09.2016 Nachrichtendienstgesetz;44.5;40.4;41.2;35.2;46.7;44.3;43.1;33;48.9;40.8;40.3;48;41.6;61.7;42.5;34.1;45.1;36.6;39.2;38.1;45.8;45.6;45.5;43.3;45.7;38.3
6060;25.09.2016 Initiative «AHVplus: für eine starke AHV»;44.7;40.4;41.6;35.6;47;44.5;43.1;33;49.3;40.8;40.4;48;41.9;61.9;42.9;34.3;45.7;37.2;39.4;38.3;45.9;45.7;45.5;43.5;45.7;38.4
6050;25.09.2016 Initiative «Grüne Wirtschaft»;44.5;40.4;41.3;35.4;46.8;44.4;43.2;33;49;40.8;40.3;48;41.7;61.7;42.6;34;45.4;36.8;39.3;38.1;45.9;45.7;45.5;43.1;45.7;38.3
6040;05.06.2016 Asylgesetz;48.3;45.3;46.4;36.8;47.6;49;49.7;36.9;51.5;43.3;44.8;51.4;44.9;65.2;48.4;37.6;44.1;42.5;44.3;42.9;48.5;48.3;49.6;50;51.6;38.8
6030;05.06.2016 Fortpflanzungsmedizingesetz;48;45.4;46.2;36.8;47.4;48.9;49.6;36.8;51.3;43.2;44.7;51.4;44.7;65.1;48.2;37.7;43.9;42.2;44.2;42.9;48.5;48.3;49.6;50;51.6;38.9
6020;05.06.2016 Initiative «Für eine faire Verkehrsfinanzierung»;48.3;45.3;46.5;36.9;47.5;49;49.7;36.9;51.5;43.2;44.7;51.4;44.7;65.3;48.6;37.6;44.1;42.5;44.3;42.9;48.5;48.3;49.6;50;51.6;38.8
6010;05.06.2016 Initiative «Für ein bedingungsloses Grundeinkommen»;48.6;45.3;46.8;37.3;47.9;49.2;49.9;37;51.8;43.4;44.9;51.4;45.1;65.4;48.9;37.9;44.4;42.9;44.5;43.2;48.6;48.4;49.6;50.3;51.6;39
6000;05.06.2016 Initiative «Pro Service public»;48.3;45.3;46.4;36.9;47.7;49;49.7;36.9;51.5;43.3;44.8;51.4;44.7;65.2;48.4;37.8;44.1;42.5;44.3;43;48.5;48.3;49.5;50.1;51.6;38.8
5990;28.02.2016 Sanierung Gotthard-Strassentunnel;65.4;61.6;67.8;73.2;68.6;72.4;73.6;57.6;69.7;63.3;64.2;66.6;63.1;76.1;66.3;59.4;62;60.6;64;59.8;68.1;61.8;63.2;56.8;55.4;54.7
