id;Beschreibung;Zürich;Bern / Berne;Luzern;Uri;Schwyz;Obwalden;Nidwalden;Glarus;Zug;Fribourg / Freiburg;Solothurn;Basel-Stadt;Basel-Landschaft;Schaffhausen;Appenzell Ausserrhoden;Appenzell Innerrhoden;St. Gallen;Graubünden / Grigioni / Grischun;Aargau;Thurgau;Ticino;Vaud;Valais / Wallis;Neuchâtel;Genève;Jura
6080;27.11.2016 Atomausstiegsinitiative;47.1;44.1;39;40.5;31.9;35.1;35;38.5;37.9;48.5;39.5;60.5;50.4;46.9;42.6;34.2;39.9;44.1;37.1;40.2;46.3;54.6;46.7;56.8;59;57.5
6070;25.09.2016 Nachrichtendienstgesetz;64;65.9;69.1;63;63.9;68.7;70.1;62.8;69.3;67.2;63.4;55;63.6;60.5;61.3;65.5;65.8;63.6;64.9;64.4;66.1;74.2;64.8;66.1;61.1;63.2
6060;25.09.2016 Initiative AHVplus: für eine starke AHV;38.3;39.8;30.8;30.3;28.2;24.9;27;36.9;28.6;42.8;40.8;49.1;42.2;41.2;34;22.3;33.2;34.5;36.3;33.6;53.4;50.3;41;54;53.6;59.5
6050;25.09.2016 Initiative Grüne Wirtschaft;37.7;37.4;31;25.8;21.5;22.9;22.8;31.2;28.4;37.4;30.7;47;35.5;36.4;32.8;23.5;30.3;30.4;30.3;30.3;40;46.3;29.2;44.1;51.9;44.8
6040;05.06.2016 Asylgesetz;70.1;68.6;67.6;61.3;58.2;57.1;61;63.4;63.6;69;65.3;74.1;68.4;63.5;64.3;56;64.5;66.6;64.4;62.3;55.8;73.5;62.6;73;59.9;68.9
6030;05.06.2016 Fortpflanzungsmedizingesetz;63.1;56.4;57.3;50.7;53.7;49.7;55.2;57.6;61.7;67.9;56.1;60.5;60.2;53;49.5;49.7;54.5;54.8;57.9;53.3;57.8;85;60;74.3;81.5;70.3
6020;05.06.2016 Initiative Für eine faire Verkehrsfinanzierung;28.7;29.5;26.9;28.7;37;33;31.9;32.8;28.5;29.6;32.2;24.3;30.5;32;29.3;28.1;31.8;25.8;32.3;33;34;22.9;30.7;29.8;24.4;29.2
6010;05.06.2016 Initiative Für ein bedingungsloses Grundeinkommen;25.1;23.8;18;15.5;13.9;13.8;13.2;18.2;16.4;24.1;21.2;36;22.9;24.5;20.8;12.6;18.6;17.8;18.8;19.2;21.9;24.7;19.2;31.2;34.7;34.4
6000;05.06.2016 Initiative Pro Service public;31.1;33.2;29.3;30.9;31.9;26.9;29.3;35.7;30.8;35.9;35.4;34.9;33.4;32.3;34.7;27.4;34.7;28.7;32.6;35.9;37.6;27.9;32.6;41.1;27.4;41.4
5990;28.02.2016 Sanierung Gotthard-Strassentunnel;55.6;57.7;61.4;53;68.2;65.5;63.1;59.9;63.3;55.4;65.3;51.6;61.2;53;51.2;53.8;56.1;60.2;68;57;57.8;45.5;56.6;50.6;45.2;50.2
