"Datum und Vorlage";"Ergebnisse";"Schweiz";"Zürich";"Bern / Berne";"Luzern";"Uri";"Schwyz";"Obwalden";"Nidwalden";"Glarus";"Zug";"Fribourg / Freiburg";"Solothurn";"Basel-Stadt";"Basel-Landschaft";"Schaffhausen";"Appenzell Ausserrhoden";"Appenzell Innerrhoden";"St. Gallen";"Graubünden / Grigioni / Grischun";"Aargau";"Thurgau";"Ticino";"Vaud";"Valais / Wallis";"Neuchâtel";"Genève";"Jura"
"27.11.2016 Atomausstiegsinitiative";"Abgegebene Stimmen";2421998;421277;318610;121374;10576;48725;13204;15276;10168;38597;89858;80576;60409;80577;32389;17404;4505;140773;59979;183417;74346;97290;208418;105645;50680;115818;22107
"25.09.2016 Nachrichtendienstgesetz";"Abgegebene Stimmen";2288549;407960;295960;112647;9336;48186;11674;13358;8673;36884;80762;71911;54875;78480;31660;16471;3992;144420;50425;163947;64590;100645;197844;99305;48452;115972;20120
"25.09.2016 Initiative «AHVplus: für eine starke AHV»";"Abgegebene Stimmen";2298492;410690;295960;113600;9459;48458;11736;13342;8687;37163;80887;72121;54875;78967;31766;16617;4010;146227;51164;164867;64846;100698;198119;99343;48716;115972;20202
"25.09.2016 Initiative «Grüne Wirtschaft»";"Abgegebene Stimmen";2291470;408579;295961;112994;9392;48285;11699;13383;8686;36965;80774;72049;54875;78562;31678;16522;3980;145091;50731;164366;64647;100676;197870;99320;48288;115972;20125
"05.06.2016 Asylgesetz";"Abgegebene Stimmen";2486032;441884;331634;126644;9747;48899;12871;15361;9703;38722;85295;79666;58717;84430;33436;18711;4391;140530;58470;184833;72493;106461;208350;107884;55894;130673;20333
"05.06.2016 Fortpflanzungsmedizingesetz";"Abgegebene Stimmen";2480345;439164;331646;126140;9741;48730;12857;15338;9691;38593;85231;79561;58717;84083;33402;18636;4406;140116;58077;184295;72477;106434;208310;107821;55870;130673;20336
"05.06.2016 Initiative «Für eine faire Verkehrsfinanzierung»";"Abgegebene Stimmen";2485384;441546;331579;126797;9775;48843;12866;15363;9708;38695;85214;79615;58717;84227;33504;18778;4395;140679;58523;184778;72465;106342;208274;107939;55804;130673;20285
"05.06.2016 Initiative «Für ein bedingungsloses Grundeinkommen»";"Abgegebene Stimmen";2494848;444112;331582;127624;9867;49233;12927;15433;9742;38979;85576;79876;58717;84896;33572;18895;4426;141453;59051;185657;72921;106482;208704;107889;56157;130673;20404
"05.06.2016 Initiative «Pro Service public»";"Abgegebene Stimmen";2485007;441213;331585;126660;9767;48962;12880;15363;9707;38713;85296;79662;58717;84147;33426;18693;4419;140613;58479;184841;72543;106432;208294;107694;55929;130673;20299
"28.02.2016 Sanierung Gotthard-Strassentunnel";"Abgegebene Stimmen";3365568;596496;449801;184510;19336;70402;19023;22760;15157;52380;124543;114214;75954;118667;38941;25639;6930;197355;83413;266094;100793;148998;265745;137412;63327;139088;28590
