"Datum und Vorlage";"Ergebnisse";"Schweiz";"Zürich";"Bern / Berne";"Luzern";"Uri";"Schwyz";"Obwalden";"Nidwalden";"Glarus";"Zug";"Fribourg / Freiburg";"Solothurn";"Basel-Stadt";"Basel-Landschaft";"Schaffhausen";"Appenzell Ausserrhoden";"Appenzell Innerrhoden";"St. Gallen";"Graubünden / Grigioni / Grischun";"Aargau";"Thurgau";"Ticino";"Vaud";"Valais / Wallis";"Neuchâtel";"Genève";"Jura"
"27.11.2016 Atomausstiegsinitiative";"Gültige Stimmzettel";2400269;419327;316539;120306;10477;48580;12965;15045;10126;38436;88911;80331;59997;78906;30886;17324;4429;140346;59179;182542;73022;96422;206278;103412;50296;114263;21924
"25.09.2016 Nachrichtendienstgesetz";"Gültige Stimmzettel";2227133;399425;288746;110019;9062;47540;11273;12884;8510;36270;78802;70844;53287;75598;28396;16223;3885;140855;48703;161140;62580;95529;192953;96076;46970;112067;19496
"25.09.2016 Initiative «AHVplus: für eine starke AHV»";"Gültige Stimmzettel";2269407;407341;292926;112269;9369;48248;11521;13082;8625;36949;79694;71702;54122;77140;29574;16520;3949;145201;50379;163918;63701;98770;195155;97378;47939;113979;19956
"25.09.2016 Initiative «Grüne Wirtschaft»";"Gültige Stimmzettel";2250043;403934;291870;111380;9234;47959;11432;13072;8612;36674;79203;71428;53918;76400;29026;16388;3907;143000;49650;162912;63266;97117;193811;96518;47111;112608;19613
"05.06.2016 Asylgesetz";"Gültige Stimmzettel";2420683;434215;324667;124094;9520;48287;12491;14872;9534;38272;82940;78662;56967;81944;30920;18501;4274;138720;57101;182102;70314;102701;202542;104189;54049;119122;19683
"05.06.2016 Fortpflanzungsmedizingesetz";"Gültige Stimmzettel";2387735;423026;318757;121922;9421;47785;12303;14641;9407;37772;82176;77612;55786;80615;30532;18282;4264;137070;55903;179774;69780;99611;201645;103468;53599;123110;19474
"05.06.2016 Initiative «Für eine faire Verkehrsfinanzierung»";"Gültige Stimmzettel";2429635;435692;325583;124531;9605;48387;12514;14941;9562;38307;83031;78756;56845;81971;31003;18601;4286;138981;57314;182531;70499;101917;202990;104237;53990;123895;19666
"05.06.2016 Initiative «Für ein bedingungsloses Grundeinkommen»";"Gültige Stimmzettel";2466188;441030;328701;126152;9768;49087;12691;15122;9675;38824;84584;79476;57882;83183;32157;18810;4348;140895;58286;184743;71603;104049;206175;105739;55360;127670;20178
"05.06.2016 Initiative «Pro Service public»";"Gültige Stimmzettel";2422010;433894;324652;124154;9583;48452;12465;14915;9559;38278;83048;78610;56652;81616;30798;18478;4319;138811;57229;182215;70460;102364;199547;104070;54035;124177;19629
"28.02.2016 Sanierung Gotthard-Strassentunnel";"Gültige Stimmzettel";3304249;589438;440947;181417;19187;69947;18516;22217;14962;52001;121436;113120;73578;116140;37395;25442;6729;195293;81996;263639;98176;147415;258511;133435;61769;133538;28005
"28.02.2016 Initiative gegen die Spekulation mit Nahrungsmitteln";"Gültige Stimmzettel";3213723;573050;432835;176210;17442;68364;17770;21391;14598;50632;117954;110495;72161;112615;35768;24759;6610;190510;78445;255679;95868;137389;253235;130797;60342;131742;27062
"28.02.2016 Durchsetzungsinitiative";"Gültige Stimmzettel";3342063;597194;445318;182351;18870;70372;18633;22247;15145;52284;123514;114068;75222;117297;37771;25629;6787;197657;82748;265984;99487;146618;262945;135044;63595;136959;28324
"28.02.2016 Initiative gegen die Heiratsstrafe";"Gültige Stimmzettel";3273376;583689;437986;178947;17823;69216;18173;21809;14851;51446;121145;112116;73101;114595;36658;25129;6683;193897;80139;260577;96847;142313;258989;133428;62055;133978;27786
"14.06.2015 Radio- und Fernsehengesetz (Radio- und Fernsehgehabgabe)";"Gültige Stimmzettel";2253395;398866;284359;114378;9565;49807;12723;14999;8984;44369;80715;71807;54175;78772;29895;17638;4232;133154;53470;170309;66091;93819;184453;107173;42462;107562;19618
"14.06.2015 Initiative «Millionen-Erbschaften besteuern»";"Gültige Stimmzettel";2271833;402743;285628;114827;9609;50198;12795;15100;9040;44757;81062;72087;54815;79657;30344;17757;4261;133964;54122;171691;66666;94697;185954;108224;42549;109586;19700
"14.06.2015 Stipendieninitiative";"Gültige Stimmzettel";2222195;390879;280906;112977;9338;49252;12533;14829;8782;43638;79859;71165;53130;77186;28970;17449;4232;131568;52365;167978;65466;92461;182940;106145;42092;106798;19257
"14.06.2015 Fortpflanzungsmedizin und Gentechnologie im Humanbereich";"Gültige Stimmzettel";2224478;390315;280343;112776;9348;49273;12520;14768;8875;43728;79715;71174;53276;77198;29657;17508;4211;131858;52630;168584;65834;91495;184617;106163;42108;107300;19204
"08.03.2015 Initiative «Energie- statt Mehrwertsteuer»";"Gültige Stimmzettel";2185731;366414;279301;119992;9203;43728;11355;15412;8711;34526;86687;68882;47918;67027;30948;18340;4172;132600;50022;163067;71626;86303;189956;100814;45413;113510;19804
"08.03.2015 Initiative «Steuerfreie Kinderzulagen»";"Gültige Stimmzettel";2187904;367085;279340;120210;9178;43687;11392;15393;8700;34535;86731;68918;48169;66976;31236;18331;4169;132695;49847;163195;71580;86457;189761;100783;45353;114399;19784
"30.11.2014 Gold-Initiative";"Gültige Stimmzettel";2554665;468852;339435;131096;10564;51851;12486;15160;10543;40760;89360;81821;60370;91926;31699;19457;5023;151964;61465;199430;75258;95307;213972;109721;47119;119755;20271
"30.11.2014 Initiative «Stopp der Überbevölkerung (ECOPOP)»";"Gültige Stimmzettel";2591553;475815;343350;132707;10713;52152;12593;15311;10641;41078;91417;82427;61742;92867;32608;19608;5078;153981;62349;201502;76173;96554;217421;111169;48191;123348;20758
"30.11.2014 Initiative zur Abschaffung der Pauschalbesteuerung";"Gültige Stimmzettel";2581239;472605;341918;132157;10672;51925;12563;15310;10616;41027;90972;82269;61029;92531;32590;19555;5062;153350;62180;200663;76079;96857;216149;111075;47903;123478;20704
"28.09.2014 Initiative «Für eine öffentliche Krankenkasse»";"Gültige Stimmzettel";2445048;394506;315029;124728;9981;47732;12917;13864;8692;37735;96344;74887;59108;97805;33355;17538;4558;137889;53784;173547;68078;112692;219197;113061;55943;137091;24987
"28.09.2014 Initiative «Schluss mit der MwSt-Diskriminierung des Gastgewerbes!»";"Gültige Stimmzettel";2403390;389236;311699;123226;9835;47372;12765;13746;8591;37852;94537;74173;57484;95622;32186;17151;4522;136020;52566;171146;67213;110258;212856;111454;54356;133354;24170
"18.05.2014 Beschaffung des Kampfflugzeugs Gripen";"Gültige Stimmzettel";2888487;497253;380849;152679;13231;59333;15280;18805;13190;45571;107734;93747;65171;101168;34404;21662;5734;169182;72294;226823;87253;118521;238241;126685;61490;135131;27056
"18.05.2014 Mindestlohn-Initiative";"Gültige Stimmzettel";2897763;498786;381641;153538;13291;59631;15392;18910;13250;45982;107798;94155;65267;101619;34660;21747;5767;170309;72762;227957;87758;118241;238894;126934;61310;135347;26817
"18.05.2014 Initiative «Pädophile sollen nicht mehr mit Kindern arbeiten dürfen»";"Gültige Stimmzettel";2864526;492922;377117;150937;12991;58762;14990;18406;13103;45263;106827;93100;64244;100143;34189;21445;5659;168140;71235;225031;86531;118052;237469;125858;60784;134667;26661
"18.05.2014 Medizinische Grundversorgung";"Gültige Stimmzettel";2817066;482612;373587;149099;12656;57751;14826;18108;12805;44864;104839;92400;63458;98722;33135;21044;5598;164549;69541;219679;85088;114836;236280;123338;60069;132453;25729
"09.02.2014 Initiative «Gegen Masseneinwanderung»";"Gültige Stimmzettel";2908406;505112;391686;150937;13057;61042;15195;18175;13174;44564;105555;96964;63948;101053;34395;21859;5843;173765;70610;223391;86338;121241;239277;127944;60403;136899;25979
"09.02.2014 Initiative «Abtreibungsfinanzierung ist Privatsache»";"Gültige Stimmzettel";2892609;501736;390446;150118;12812;60615;15027;18011;13033;44276;105004;96660;63513;100421;34359;21695;5771;172591;69676;222124;84851;119624;240052;127144;60250;137002;25798
"09.02.2014 Finanzierung und Ausbau der Eisenbahninfrastruktur";"Gültige Stimmzettel";2865054;497148;388042;148554;12683;60327;14929;17913;12973;44020;103760;96261;62522;99535;33548;21461;5745;171405;68860;220700;85219;118822;237049;126009;59276;132926;25367
"24.11.2013 Nationalstrassenabgabegesetz (NSAG)";"Gültige Stimmzettel";2750116;475898;375999;140804;12690;56671;14586;17524;12102;43901;100187;93041;61709;96858;32447;20871;5314;162645;67108;206267;81893;108985;223489;120062;62064;124652;32349
"24.11.2013 Familieninitiative";"Gültige Stimmzettel";2744161;477715;375817;140635;12651;56461;14478;17460;12049;43889;99688;92725;62214;96494;32467;20908;5303;162330;66758;205869;81374;107496;222544;119411;61475;124009;31941
"24.11.2013 Initiative «1:12 - für gerechte Löhne»";"Gültige Stimmzettel";2751717;479559;375940;141191;12641;56676;14516;17475;12067;44138;99543;92937;62564;96967;32671;20933;5312;162678;66883;206846;81613;107824;223211;119658;61264;124536;32074
"22.09.2013 Liberalisierung der Öffnungszeiten von Tankstellenshops";"Gültige Stimmzettel";2374036;425241;317573;123331;11465;49212;12338;14758;9800;36291;87348;77808;52310;80456;30059;19032;4563;142650;56584;188918;73023;97668;188271;98285;46443;111990;18619
"22.09.2013 Epidemiengesetz";"Gültige Stimmzettel";2361128;424658;316019;122718;11498;49242;12282;14740;9788;36260;85969;77550;52601;80640;30865;19044;4554;142379;56969;188586;72465;95932;186388;96967;45510;109433;18071
"22.09.2013 Aufhebung der Wehrpflicht";"Gültige Stimmzettel";2407796;432876;320182;125221;11832;49662;12585;15051;9924;36781;88103;78414;53505;81622;31242;19309;4563;144392;58360;193312;73795;99892;189302;98874;46769;113528;18700
"09.06.2013 Asylgesetz";"Gültige Stimmzettel";2005181;357209;259364;117031;7867;43299;10710;12776;7202;32207;69312;69243;50590;67889;27417;15000;3456;112113;47340;147415;54357;77932;160600;89843;40786;108084;16139
"09.06.2013 «Volkswahl des Bundesrates»";"Gültige Stimmzettel";2030371;362332;262622;118673;7987;43739;10873;12957;7254;32688;70387;70162;51206;68944;28170;15209;3446;113227;48219;149146;54335;78967;162738;90736;41364;108651;16339
"03.03.2013 Raumplanungsgesetz";"Gültige Stimmzettel";2348456;399485;306215;119530;10525;48245;12545;14575;9259;37140;82277;83579;54572;81102;29965;19203;4617;135478;73342;174904;68336;85883;186670;139116;44993;107023;19877
"03.03.2013 Initiative «gegen die Abzockerei»";"Gültige Stimmzettel";2378159;406888;308168;120361;10706;48700;12662;14654;9310;37336;82849;84017;55221;83068;31285;19382;4645;136419;75187;177424;68709;86961;189438;138415;46045;109978;20331
"03.03.2013 Familienpolitik";"Gültige Stimmzettel";2362482;401960;307508;120312;10711;48606;12637;14626;9265;37273;82470;84139;55139;82450;30157;19313;4647;136348;74050;176355;68434;85697;188993;137310;45442;108654;19986
