"Datum und Vorlage";"Ergebnisse";"Schweiz";"Zürich";"Bern / Berne";"Luzern";"Uri";"Schwyz";"Obwalden";"Nidwalden";"Glarus";"Zug";"Fribourg / Freiburg";"Solothurn";"Basel-Stadt";"Basel-Landschaft";"Schaffhausen";"Appenzell Ausserrhoden";"Appenzell Innerrhoden";"St. Gallen";"Graubünden / Grigioni / Grischun";"Aargau";"Thurgau";"Ticino";"Vaud";"Valais / Wallis";"Neuchâtel";"Genève";"Jura"
"27.11.2016 Atomausstiegsinitiative";"Ja";1099409;197636;139516;46898;4243;15501;4554;5259;3902;14573;43120;31710;36284;39797;14474;7374;1514;55942;26069;67640;29364;44603;112565;48338;28559;67374;12600
"25.09.2016 Nachrichtendienstgesetz";"Ja";1459068;255551;190299;76009;5709;30356;7747;9036;5345;25122;52989;44888;29299;48048;17172;9941;2546;92724;30959;104500;40296;63130;143239;62292;31057;68489;12325
"25.09.2016 Initiative «AHVplus: für eine starke AHV»";"Ja";921375;156192;116671;34628;2837;13586;2866;3530;3186;10558;34130;29287;26562;32542;12186;5611;882;48156;17396;59533;21412;52766;98132;39918;25889;61039;11880
"25.09.2016 Initiative «Grüne Wirtschaft»";"Ja";819770;152146;109033;34492;2378;10325;2623;2986;2687;10414;29628;21895;25365;27135;10557;5379;918;43262;15118;49426;19146;38893;89782;28193;20753;58453;8783
"05.06.2016 Asylgesetz";"Ja";1616597;304271;222595;83892;5837;28112;7137;9073;6047;24339;57268;51336;42221;56061;19649;11901;2392;89504;38042;117364;43828;57256;148897;65235;39473;71313;13554
"05.06.2016 Fortpflanzungsmedizingesetz";"Ja";1490417;266926;179806;69861;4780;25676;6117;8081;5415;23294;55796;43554;33734;48520;16187;9052;2118;74718;30622;104145;37170;57624;171322;62048;39813;100351;13687
"05.06.2016 Initiative «Für eine faire Verkehrsfinanzierung»";"Ja";709974;125087;95993;33542;2755;17885;4129;4767;3139;10921;24613;25345;13804;25007;9910;5446;1206;44186;14805;59011;23248;34615;46427;32049;16084;30261;5739
"05.06.2016 Initiative «Für ein bedingungsloses Grundeinkommen»";"Ja";568660;110639;78116;22722;1513;6814;1748;1990;1757;6373;20376;16865;20842;19075;7890;3905;548;26175;10404;34730;13716;22827;50849;20277;17274;44286;6949
"05.06.2016 Initiative «Pro Service public»";"Ja";784303;134847;107733;36387;2962;15442;3350;4366;3411;11804;29842;27820;19779;27280;9960;6403;1185;48214;16398;59377;25295;38499;55594;33958;22227;34044;8126
"28.02.2016 Sanierung Gotthard-Strassentunnel";"Ja";1883859;327526;254345;111406;10170;47684;12126;14026;8969;32911;67233;73857;37934;71069;19831;13021;3623;109503;49330;179232;55968;85157;117681;75523;31263;60419;14052
"28.02.2016 Initiative gegen die Spekulation mit Nahrungsmitteln";"Ja";1287786;231366;179297;63263;6249;22848;5591;6599;5480;16272;47349;44438;36396;45542;15724;9512;2152;71087;29856;96211;36548;57368;110222;47208;27544;59995;13669
"28.02.2016 Durchsetzungsinitiative";"Ja";1375098;209096;178765;79766;9732;37942;9789;11267;7381;22289;50552;49047;22439;47133;17031;11453;3684;90715;34647;117845;46909;87117;87841;60786;22070;48566;11236
"28.02.2016 Initiative gegen die Heiratsstrafe";"Ja";1609152;253697;202291;90957;9079;37732;9932;11898;7685;26571;64935;57996;28867;56577;18793;12440;3719;102759;39604;137551;52263;77876;118458;75998;32218;62566;16690
"14.06.2015 Radio- und Fernsehengesetz (Radio- und Fernsehgehabgabe)";"Ja";1128522;191182;140295;56938;4223;20080;5211;6482;4076;19288;44360;34975;27733;36057;12954;7490;1712;64553;27188;80097;30049;45027;115271;49794;25462;66536;11489
"14.06.2015 Initiative «Millionen-Erbschaften besteuern»";"Ja";657851;132700;101808;30862;2501;8614;2272;2710;2712;8682;22924;21355;22646;23277;9608;5002;885;37502;12976;43585;18014;25654;52698;16940;14479;30795;6650
"14.06.2015 Stipendieninitiative";"Ja";610284;104096;74977;24939;1945;8633;1919;2381;1832;8017;23910;18449;18034;20451;8341;3711;551;28981;11924;38317;13785;26927;69489;28426;17747;45113;7389
"14.06.2015 Fortpflanzungsmedizin und Gentechnologie im Humanbereich";"Ja";1377613;252811;159951;61735;4310;24124;5534;7404;4657;25270;53448;39285;33367;47341;14551;8521;1875;68543;28353;97694;33154;55683;156636;60546;31673;88239;12908
"08.03.2015 Initiative «Energie- statt Mehrwertsteuer»";"Ja";175405;39793;23844;10099;552;2697;674;927;557;2614;4888;5149;6712;5696;3364;1463;215;9727;3473;12608;5631;5820;10792;3970;2679;10291;1170
"08.03.2015 Initiative «Steuerfreie Kinderzulagen»";"Ja";537795;74963;57637;31434;2237;10813;2437;3688;1472;7655;28301;17377;11867;16008;8517;3731;869;31559;10877;37804;16242;25489;48739;32427;12841;34334;8477
"30.11.2014 Gold-Initiative";"Ja";580528;96453;73376;32437;2738;15171;3467;3735;2589;8288;18816;19289;12914;19925;9043;5536;1306;41678;12510;47827;20499;31760;36370;23281;9424;28164;3932
"30.11.2014 Initiative «Stopp der Überbevölkerung (ECOPOP)»";"Ja";671099;115853;86182;39284;3215;17847;4110;4468;3275;10019;23293;25096;14683;24170;10373;5883;1563;46749;13708;59320;23516;35622;37674;23629;10495;26347;4725
"30.11.2014 Initiative zur Abschaffung der Pauschalbesteuerung";"Ja";1053125;231964;150188;56685;4094;18676;4201;4724;4405;13381;32790;37978;27518;42539;16558;9383;1787;68191;17884;87111;33672;30978;67796;24109;18902;39162;8449
"28.09.2014 Initiative «Für eine öffentliche Krankenkasse»";"Ja";933012;128083;121713;32404;3323;9992;2976;2924;2874;8342;47895;28604;26600;34851;11089;4728;832;40389;14709;53762;18046;50110;123282;37311;33759;78679;15735
"28.09.2014 Initiative «Schluss mit der MwSt-Diskriminierung des Gastgewerbes!»";"Ja";684563;93159;83527;34071;3486;14303;4458;4184;2455;9161;29395;22862;16530;27302;11255;4791;1410;36392;15173;51132;18336;38929;67814;33618;16499;35836;8485
"18.05.2014 Beschaffung des Kampfflugzeugs Gripen";"Ja";1345726;242344;187043;82886;8250;36510;9746;12818;7904;26409;43741;47128;21022;43027;16990;11077;3484;87990;36668;117681;48470;53672;83126;48218;19009;43567;6946
"18.05.2014 Mindestlohn-Initiative";"Ja";687571;126195;90929;28007;2336;8124;2145;2425;2348;7285;26867;20953;24590;24002;8846;4036;698;31232;13241;43876;15591;37824;67986;22911;19549;45959;9616
"18.05.2014 Initiative «Pädophile sollen nicht mehr mit Kindern arbeiten dürfen»";"Ja";1819822;282218;215514;86746;8207;38263;8911;10906;8317;26495;73522;60675;36107;61829;22454;11796;3364;106577;44610;143835;54154;98037;163034;93452;42557;99167;19075
"18.05.2014 Medizinische Grundversorgung";"Ja";2480870;418995;334232;132057;10918;46768;12282;15069;11357;38815;95235;81514;56508;87558;28899;17284;4598;139968;61931;191931;72112;100683;215751;103874;56293;122907;23331
"09.02.2014 Initiative «Gegen Masseneinwanderung»";"Ja";1463854;239139;200025;80523;7595;38500;8983;10693;7824;22257;51172;52934;24941;51177;19994;11890;3709;97218;35721;123390;49920;82652;93050;61821;23735;53545;11446
"09.02.2014 Initiative «Abtreibungsfinanzierung ist Privatsache»";"Ja";873060;150194;125235;57178;5803;26826;6246;7159;4671;14903;24877;33534;15605;29867;12040;8638;2940;73100;23473;80181;34745;38835;26081;37142;9733;18863;5191
"09.02.2014 Finanzierung und Ausbau der Eisenbahninfrastruktur";"Ja";1776878;313874;223479;91012;6531;29868;7804;9252;6599;28147;60764;51440;45189;62735;17911;11955;2958;99131;44460;122348;46188;85215;175418;75573;40724;101836;16467
"24.11.2013 Nationalstrassenabgabegesetz (NSAG)";"Ja";1087368;210849;148884;63620;4931;20285;5554;6813;5830;19922;30628;33693;29842;39586;10816;8601;2474;65810;30293;74585;31334;35298;81528;42112;30653;41302;12125
"24.11.2013 Familieninitiative";"Ja";1139670;186528;162503;63370;6420;28907;6556;7616;5100;19246;40445;38736;21312;39254;15178;9175;2764;74572;29454;89535;39344;50275;73852;50620;22782;41890;14236
"24.11.2013 Initiative «1:12 - für gerechte Löhne»";"Ja";954787;157535;142828;41917;4037;13201;3997;4396;4046;10134;37943;31474;25555;30563;11336;6532;1482;51665;20637;59747;25044;52862;82502;39140;27251;53637;15326
"22.09.2013 Liberalisierung der Öffnungszeiten von Tankstellenshops";"Ja";1324528;266326;169621;68254;4983;27511;6922;9227;5234;23170;42852;42413;29872;46633;16480;9825;2296;74568;33975;105612;37801;62144;104113;42558;21705;63980;6453
"22.09.2013 Epidemiengesetz";"Ja";1416741;256865;173511;73042;5689;22402;6317;8263;5023;20811;56721;45199;35624;50236;15446;8551;2094;72005;31813;105392;36417;61762;137181;60006;30497;85114;10760
"22.09.2013 Aufhebung der Wehrpflicht";"Ja";644985;123822;78947;28225;1770;8057;2041;2371;1777;7877;26016;17388;20904;22382;7893;4307;720;32272;13228;41065;14224;27701;63947;24906;17578;47819;7748
