"Datum und Vorlage";"Ergebnisse";"Schweiz";"Zürich";"Bern / Berne";"Luzern";"Uri";"Schwyz";"Obwalden";"Nidwalden";"Glarus";"Zug";"Fribourg / Freiburg";"Solothurn";"Basel-Stadt";"Basel-Landschaft";"Schaffhausen";"Appenzell Ausserrhoden";"Appenzell Innerrhoden";"St. Gallen";"Graubünden / Grigioni / Grischun";"Aargau";"Thurgau";"Ticino";"Vaud";"Valais / Wallis";"Neuchâtel";"Genève";"Jura"
"27.11.2016 Atomausstiegsinitiative";"Nein";1300860;221691;177023;73408;6234;33079;8411;9786;6224;23863;45791;48621;23713;39109;16412;9950;2915;84404;33110;114902;43658;51819;93713;55074;21737;46889;9324
"25.09.2016 Nachrichtendienstgesetz";"Nein";768065;143874;98447;34010;3353;17184;3526;3848;3165;11148;25813;25956;23988;27550;11224;6282;1339;48131;17744;56640;22284;32399;49714;33784;15913;43578;7171
"25.09.2016 Initiative «AHVplus: für eine starke AHV»";"Nein";1348032;251149;176255;77641;6532;34662;8655;9552;5439;26391;45564;42415;27560;44598;17388;10909;3067;97045;32983;104385;42289;46004;97023;57460;22050;52940;8076
"25.09.2016 Initiative «Grüne Wirtschaft»";"Nein";1430273;251788;182837;76888;6856;37634;8809;10086;5925;26260;49575;49533;28553;49265;18469;11009;2989;99738;34532;113486;44120;58224;104029;68325;26358;54155;10830
"05.06.2016 Asylgesetz";"Nein";804086;129944;102072;40202;3683;20175;5354;5799;3487;13933;25672;27326;14746;25883;11271;6600;1882;49216;19059;64738;26486;45445;53645;38954;14576;47809;6129
"05.06.2016 Fortpflanzungsmedizingesetz";"Nein";897318;156100;138951;52061;4641;22109;6186;6560;3992;14478;26380;34058;22052;32095;14345;9230;2146;62352;25281;75629;32610;41987;30323;41420;13786;22759;5787
"05.06.2016 Initiative «Für eine faire Verkehrsfinanzierung»";"Nein";1719661;310605;229590;90989;6850;30502;8385;10174;6423;27386;58418;53411;43041;56964;21093;13155;3080;94795;42509;123520;47251;67302;156563;72188;37906;93634;13927
"05.06.2016 Initiative «Für ein bedingungsloses Grundeinkommen»";"Nein";1897528;330391;250585;103430;8255;42273;10943;13132;7918;32451;64208;62611;37040;64108;24267;14905;3800;114720;47882;150013;57887;81222;155326;85462;38086;83384;13229
"05.06.2016 Initiative «Pro Service public»";"Nein";1637707;299047;216919;87767;6621;33010;9115;10549;6148;26474;53206;50790;36873;54336;20838;12075;3134;90597;40831;122838;45165;63865;143953;70112;31808;90133;11503
"28.02.2016 Sanierung Gotthard-Strassentunnel";"Nein";1420390;261912;186602;70011;9017;22263;6390;8191;5993;19090;54203;39263;35644;45071;17564;12421;3106;85790;32666;84407;42208;62258;140830;57912;30506;73119;13953
"28.02.2016 Initiative gegen die Spekulation mit Nahrungsmitteln";"Nein";1925937;341684;253538;112947;11193;45516;12179;14792;9118;34360;70605;66057;35765;67073;20044;15247;4458;119423;48589;159468;59320;80021;143013;83589;32798;71747;13393
"28.02.2016 Durchsetzungsinitiative";"Nein";1966965;388098;266553;102585;9138;32430;8844;10980;7764;29995;72962;65021;52783;70164;20740;14176;3103;106942;48101;148139;52578;59501;175104;74258;41525;88393;17088
"28.02.2016 Initiative gegen die Heiratsstrafe";"Nein";1664224;329992;235695;87990;8744;31484;8241;9911;7166;24875;56210;54120;44234;58018;17865;12689;2964;91138;40535;123026;44584;64437;140531;57430;29837;71412;11096
"14.06.2015 Radio- und Fernsehengesetz (Radio- und Fernsehgehabgabe)";"Nein";1124873;207684;144064;57440;5342;29727;7512;8517;4908;25081;36355;36832;26442;42715;16941;10148;2520;68601;26282;90212;36042;48792;69182;57379;17000;41026;8129
"14.06.2015 Initiative «Millionen-Erbschaften besteuern»";"Nein";1613982;270043;183820;83965;7108;41584;10523;12390;6328;36075;58138;50732;32169;56380;20736;12755;3376;96462;41146;128106;48652;69043;133256;91284;28070;78791;13050
"14.06.2015 Stipendieninitiative";"Nein";1611911;286783;205929;88038;7393;40619;10614;12448;6950;35621;55949;52716;35096;56735;20629;13738;3681;102587;40441;129661;51681;65534;113451;77719;24345;61685;11868
"14.06.2015 Fortpflanzungsmedizin und Gentechnologie im Humanbereich";"Nein";846865;137504;120392;51041;5038;25149;6986;7364;4218;18458;26267;31889;19909;29857;15106;8987;2336;63315;24277;70890;32680;35812;27981;45617;10435;19061;6296
"08.03.2015 Initiative «Energie- statt Mehrwertsteuer»";"Nein";2010326;326621;255457;109893;8651;41031;10681;14485;8154;31912;81799;63733;41206;61331;27584;16877;3957;122873;46549;150459;65995;80483;179164;96844;42734;103219;18634
"08.03.2015 Initiative «Steuerfreie Kinderzulagen»";"Nein";1650109;292122;221703;88776;6941;32874;8955;11705;7228;26880;58430;51541;36302;50968;22719;14600;3300;101136;38970;125391;55338;60968;141022;68356;32512;80065;11307
"30.11.2014 Gold-Initiative";"Nein";1974137;372399;266059;98659;7826;36680;9019;11425;7954;32472;70544;62532;47456;72001;22656;13921;3717;110286;48955;151603;54759;63547;177602;86440;37695;91591;16339
"30.11.2014 Initiative «Stopp der Überbevölkerung (ECOPOP)»";"Nein";1920454;359962;257168;93423;7498;34305;8483;10843;7366;31059;68124;57331;47059;68697;22235;13725;3515;107232;48641;142182;52657;60932;179747;87540;37696;97001;16033
"30.11.2014 Initiative zur Abschaffung der Pauschalbesteuerung";"Nein";1528114;240641;191730;75472;6578;33249;8362;10586;6211;27646;58182;44291;33511;49992;16032;10172;3275;85159;44296;113552;42407;65879;148353;86966;29001;84316;12255
"28.09.2014 Initiative «Für eine öffentliche Krankenkasse»";"Nein";1512036;266423;193316;92324;6658;37740;9941;10940;5818;29393;48449;46283;32508;62954;22266;12810;3726;97500;39075;119785;50032;62582;95915;75750;22184;58412;9252
"28.09.2014 Initiative «Schluss mit der MwSt-Diskriminierung des Gastgewerbes!»";"Nein";1718827;296077;228172;89155;6349;33069;8307;9562;6136;28691;65142;51311;40954;68320;20931;12360;3112;99628;37393;120014;48877;71329;145042;77836;37857;97518;15685
"18.05.2014 Beschaffung des Kampfflugzeugs Gripen";"Nein";1542761;254909;193806;69793;4981;22823;5534;5987;5286;19162;63993;46619;44149;58141;17414;10585;2250;81192;35626;109142;38783;64849;155115;78467;42481;91564;20110
"18.05.2014 Mindestlohn-Initiative";"Nein";2210192;372591;290712;125531;10955;51507;13247;16485;10902;38697;80931;73202;40677;77617;25814;17711;5069;139077;59521;184081;72167;80417;170908;104023;41761;89388;17201
"18.05.2014 Initiative «Pädophile sollen nicht mehr mit Kindern arbeiten dürfen»";"Nein";1044704;210704;161603;64191;4784;20499;6079;7500;4786;18768;33305;32425;28137;38314;11735;9649;2295;61563;26625;81196;32377;20015;74435;32406;18227;35500;7586
"18.05.2014 Medizinische Grundversorgung";"Nein";336196;63617;39355;17042;1738;10983;2544;3039;1448;6049;9604;10886;6950;11164;4236;3760;1000;24581;7610;27748;12976;14153;20529;19464;3776;9546;2398
"09.02.2014 Initiative «Gegen Masseneinwanderung»";"Nein";1444552;265973;191661;70414;5462;22542;6212;7482;5350;22307;54383;44030;39007;49876;14401;9969;2134;76547;34889;100001;36418;38589;146227;66123;36668;83354;14533
"09.02.2014 Initiative «Abtreibungsfinanzierung ist Privatsache»";"Nein";2019549;351542;265211;92940;7009;33789;8781;10852;8362;29373;80127;63126;47908;70554;22319;13057;2831;99491;46203;141943;50106;80789;213971;90002;50517;118139;20607
"09.02.2014 Finanzierung und Ausbau der Eisenbahninfrastruktur";"Nein";1088176;183274;164563;57542;6152;30459;7125;8661;6374;15873;42996;44821;17333;36800;15637;9506;2787;72274;24400;98352;39031;33607;61631;50436;18552;31090;8900
"24.11.2013 Nationalstrassenabgabegesetz (NSAG)";"Nein";1662748;265049;227115;77184;7759;36386;9032;10711;6272;23979;69559;59348;31867;57272;21631;12270;2840;96835;36815;131682;50559;73687;141961;77950;31411;83350;20224
"24.11.2013 Familieninitiative";"Nein";1604491;291187;213314;77265;6231;27554;7922;9844;6949;24643;59243;53989;40902;57240;17289;11733;2539;87758;37304;116334;42030;57221;148692;68791;38693;82119;17705
"24.11.2013 Initiative «1:12 - für gerechte Löhne»";"Nein";1796930;322024;233112;99274;8604;43475;10519;13079;8021;34004;61600;61463;37009;66404;21335;14401;3830;111013;46246;147099;56569;54962;140709;80518;34013;70899;16748
"22.09.2013 Liberalisierung der Öffnungszeiten von Tankstellenshops";"Nein";1049508;158915;147952;55077;6482;21701;5416;5531;4566;13121;44496;35395;22438;33823;13579;9207;2267;68082;22609;83306;35222;35524;84158;55727;24738;48010;12166
"22.09.2013 Epidemiengesetz";"Nein";944387;167793;142508;49676;5809;26840;5965;6477;4765;15449;29248;32351;16977;30404;15419;10493;2460;70374;25156;83194;36048;34170;49207;36961;15013;24319;7311
"22.09.2013 Aufhebung der Wehrpflicht";"Nein";1762811;309054;241235;96996;10062;41605;10544;12680;8147;28904;62087;61026;32601;59240;23349;15002;3843;112120;45132;152247;59571;72191;125355;73968;29191;65709;10952
"09.06.2013 Asylgesetz";"Nein";432174;72593;50669;19597;1367;5880;1537;1703;1241;4693;17162;11573;14478;12999;5481;2656;457;18468;9210;24978;8551;19551;47024;20879;12185;41787;5455
"09.06.2013 «Volkswahl des Bundesrates»";"Nein";1550080;270776;208103;93335;6059;30428;8121;9553;5325;25256;56499;54411;40536;53853;19964;11479;2515;83967;38143;109963;40217;53694;129434;71261;33426;80363;13399
"03.03.2013 Raumplanungsgesetz";"Nein";871514;114796;101564;38161;4638;20920;5483;5958;3093;10620;30549;25524;11946;24051;11031;6535;2061;48308;28254;57921;21478;38376;81299;111785;14547;45222;7394
"03.03.2013 Initiative «gegen die Abzockerei»";"Nein";761975;121241;91358;40587;3825;19101;5557;6193;2826;15599;24645;26937;18074;26995;7548;6524;1813;45890;25896;58872;20240;25454;63420;50225;12936;35565;4654
"03.03.2013 Familienpolitik";"Nein";1078531;186638;155535;61585;7302;30689;7833;8624;5319;19570;30736;41695;19293;38932;16799;11468;3388;77927;37920;93187;39923;28500;55112;58192;13701;22735;5928
"25.11.2012 Tierseuchengesetz";"Nein";439484;94371;59064;27656;4027;14506;3892;3607;1721;10086;15967;12326;7809;13615;8141;5206;1394;36018;18137;30228;13683;13422;12235;13498;7879;8758;2238
"23.09.2012 «Schutz vor Passivrauchen»";"Nein";1437985;253954;203191;80385;7457;34925;8265;10291;5833;24575;44817;50431;31187;42583;21282;11983;3191;98397;32694;111113;57422;44603;98209;59637;38953;50213;12394
"23.09.2012 «Sicheres Wohnen im Alter»";"Nein";1125495;193807;169560;58212;4849;21972;6135;7144;3927;18275;37432;33563;33137;34914;12680;8416;2311;68794;24102;70202;38629;41171;101009;47186;30314;48192;9562
"23.09.2012 Jugendmusikförderung";"Nein";583231;94995;82115;33484;3990;20161;4224;5979;3043;10018;18211;18098;9587;16456;8836;6408;1783;46145;12378;39396;25738;20668;38847;26174;14388;17980;4129
"17.06.2012 Krankenversicherungsgesetz (Managed Care)";"Nein";1482667;248988;175913;79844;5509;30354;7870;9178;4907;22865;50184;47473;39700;59339;20369;9828;1996;71448;30259;90919;32803;71544;159463;69917;31334;98306;12357
"17.06.2012 Initiative «Staatsverträge vors Volk!»";"Nein";1462659;255929;191831;84784;5451;27302;7433;8724;4650;22642;51064;51037;38984;56281;18380;10266;2102;78246;32790;95666;35453;49221;142725;65884;31642;82133;12039
"17.06.2012 «Eigene vier Wände dank Bausparen»";"Nein";1332839;246667;188674;80484;5449;28358;7305;8560;4726;21497;44871;47993;37318;42824;17909;10077;2093;78142;29743;90248;35397;45651;105775;55850;26579;60028;10621
"11.03.2012 Buchpreisbindung";"Nein";1234222;222532;165953;71075;8760;34056;7716;8372;4975;23183;36048;43615;26825;50375;18311;10211;2443;88773;30631;102462;36924;48960;77973;49992;17733;40435;5889
"11.03.2012 Regelung der Geldspiele zugunsten gemeinnütziger Zwecke";"Nein";284108;43176;36293;16452;2578;10439;2197;2186;1163;5153;10269;10004;5767;10142;5043;2297;702;20544;8137;23706;8565;11193;11619;19048;5157;9907;2371
"11.03.2012 6 Wochen Ferien für alle";"Nein";1531986;247287;199666;86789;9672;39333;10805;11379;6184;26403;56362;47784;30599;55958;20854;12321;3372;101741;43286;110759;43914;51634;124193;85016;29545;66321;10809
"11.03.2012 Für ein steuerlich begünstigtes Bausparen";"Nein";1237825;222183;182272;67815;7456;27572;7482;8149;5063;19527;45466;38710;30987;37194;15351;9127;2387;78561;30100;85160;34524;33771;99956;57274;25718;55754;10266
"11.03.2012 Schluss mit uferlosem Bau von Zweitwohnungen!";"Nein";1123802;174421;130503;61693;7775;28357;7819;8302;4270;19392;43490;30147;18788;34545;12655;7242;2161;67743;33622;76575;27965;50889;99175;90087;22072;54479;9635
"13.02.2011 Waffeninitiative";"Nein";1395812;210976;221611;76713;7929;35429;9512;10759;7554;21913;49851;54161;22732;50137;18713;11999;3554;89687;38557;112468;50682;58538;92354;62788;23868;43889;9438
"28.11.2010 Steuergerechtigkeits-Initiative";"Nein";1510589;276311;179418;93364;8697;42789;11050;14077;6746;32205;45441;53973;25089;49589;18313;12726;3998;95912;36035;130757;49728;54715;108173;71940;21665;59591;8287
"28.11.2010 Gegenentwurf zur Ausschaffungsinitiative";"Nein";1407830;250933;187781;74725;7503;33428;7906;10278;6669;20373;43481;50781;32119;48243;16890;11199;3312;88992;32382;107558;43267;51291;117224;53856;26628;70012;10999
"28.11.2010 Ausschaffungsinitiative";"Nein";1243942;236472;164888;63190;4865;18787;5620;6993;4546;18367;43612;39158;35570;43988;13992;9314;1899;65892;28226;88155;30802;36754;120552;51154;28715;70548;11883
"26.09.2010 Revision des Arbeitslosenversicherungsgesetzes";"Nein";836101;116313;111537;29967;2815;10706;2663;3769;2047;9687;33742;28756;26650;31540;10926;5423;776;47409;12777;51549;16729;40715;92598;46087;28999;58743;13178
"07.03.2010 Berufliche Vorsorge: Anpassung des Mindestumwandlungssatzes";"Nein";1646369;264302;215805;72211;8325;30384;9000;10557;6904;22471;66191;57855;40898;61713;19927;11694;2322;87907;33517;118536;46170;69173;153426;84495;43700;90118;18768
