"Datum und Vorlage";"Ergebnisse";"Schweiz";"Zürich";"Bern / Berne";"Luzern";"Uri";"Schwyz";"Obwalden";"Nidwalden";"Glarus";"Zug";"Fribourg / Freiburg";"Solothurn";"Basel-Stadt";"Basel-Landschaft";"Schaffhausen";"Appenzell Ausserrhoden";"Appenzell Innerrhoden";"St. Gallen";"Graubünden / Grigioni / Grischun";"Aargau";"Thurgau";"Ticino";"Vaud";"Valais / Wallis";"Neuchâtel";"Genève";"Jura"
"27.11.2016 Atomausstiegsinitiative";"Stimmberechtigte";5336711;918806;732704;273702;26543;103338;26485;31015;26348;75678;198479;178722;114182;188725;51408;38747;11703;319617;137699;419296;169740;220035;435066;218830;112006;255267;52570
"25.09.2016 Nachrichtendienstgesetz";"Stimmberechtigte";5329183;917761;732699;273315;26549;103090;26360;30977;26318;75452;198106;178641;114227;188591;51349;38768;11692;319903;137697;418359;169494;219560;433408;218417;111910;253988;52552
"25.09.2016 Initiative «AHVplus: für eine starke AHV»";"Stimmberechtigte";5329183;917761;732699;273315;26549;103090;26360;30977;26318;75452;198106;178641;114227;188591;51349;38768;11692;319903;137697;418359;169494;219560;433408;218417;111910;253988;52552
"25.09.2016 Initiative «Grüne Wirtschaft»";"Stimmberechtigte";5329183;917761;732699;273315;26549;103090;26360;30977;26318;75452;198106;178641;114227;188591;51349;38768;11692;319903;137697;418359;169494;219560;433408;218417;111910;253988;52552
"05.06.2016 Asylgesetz";"Stimmberechtigte";5313287;914320;731290;272852;26462;102726;26277;30919;26307;75207;197116;177994;114236;188237;51295;38651;11683;318925;137587;416963;168872;219306;431220;217557;111678;253268;52339
"05.06.2016 Fortpflanzungsmedizingesetz";"Stimmberechtigte";5313287;914320;731290;272852;26462;102726;26277;30919;26307;75207;197116;177994;114236;188237;51295;38651;11683;318925;137587;416963;168872;219306;431220;217557;111678;253268;52339
"05.06.2016 Initiative «Für eine faire Verkehrsfinanzierung»";"Stimmberechtigte";5313287;914320;731290;272852;26462;102726;26277;30919;26307;75207;197116;177994;114236;188237;51295;38651;11683;318925;137587;416963;168872;219306;431220;217557;111678;253268;52339
"05.06.2016 Initiative «Für ein bedingungsloses Grundeinkommen»";"Stimmberechtigte";5313287;914320;731290;272852;26462;102726;26277;30919;26307;75207;197116;177994;114236;188237;51295;38651;11683;318925;137587;416963;168872;219306;431220;217557;111678;253268;52339
"05.06.2016 Initiative «Pro Service public»";"Stimmberechtigte";5313287;914320;731290;272852;26462;102726;26277;30919;26307;75207;197116;177994;114236;188237;51295;38651;11683;318925;137587;416963;168872;219306;431220;217557;111678;253268;52339
"28.02.2016 Sanierung Gotthard-Strassentunnel";"Stimmberechtigte";5302873;912538;730450;272213;26413;102690;26286;30941;26309;75192;196710;177793;113979;188192;51196;38665;11669;318446;137629;415963;168507;218853;429852;217432;111504;251216;52235
"28.02.2016 Initiative gegen die Spekulation mit Nahrungsmitteln";"Stimmberechtigte";5302873;912538;730450;272213;26413;102690;26286;30941;26309;75192;196710;177793;113979;188192;51196;38665;11669;318446;137629;415963;168507;218853;429852;217432;111504;251216;52235
"28.02.2016 Durchsetzungsinitiative";"Stimmberechtigte";5302873;912538;730450;272213;26413;102690;26286;30941;26309;75192;196710;177793;113979;188192;51196;38665;11669;318446;137629;415963;168507;218853;429852;217432;111504;251216;52235
"28.02.2016 Initiative gegen die Heiratsstrafe";"Stimmberechtigte";5302873;912538;730450;272213;26413;102690;26286;30941;26309;75192;196710;177793;113979;188192;51196;38665;11669;318446;137629;415963;168507;218853;429852;217432;111504;251216;52235
"14.06.2015 Radio- und Fernsehengesetz (Radio- und Fernsehgehabgabe)";"Stimmberechtigte";5265120;903592;727478;270219;26350;101635;26129;30731;26184;74399;195331;176945;113949;187734;50863;38414;11571;317097;136806;413193;167060;217953;425616;215458;111236;247142;52035
"14.06.2015 Initiative «Millionen-Erbschaften besteuern»";"Stimmberechtigte";5265120;903592;727478;270219;26350;101635;26129;30731;26184;74399;195331;176945;113949;187734;50863;38414;11571;317097;136806;413193;167060;217953;425616;215458;111236;247142;52035
"14.06.2015 Stipendieninitiative";"Stimmberechtigte";5265120;903592;727478;270219;26350;101635;26129;30731;26184;74399;195331;176945;113949;187734;50863;38414;11571;317097;136806;413193;167060;217953;425616;215458;111236;247142;52035
"14.06.2015 Fortpflanzungsmedizin und Gentechnologie im Humanbereich";"Stimmberechtigte";5265120;903592;727478;270219;26350;101635;26129;30731;26184;74399;195331;176945;113949;187734;50863;38414;11571;317097;136806;413193;167060;217953;425616;215458;111236;247142;52035
"08.03.2015 Initiative «Energie- statt Mehrwertsteuer»";"Stimmberechtigte";5254965;901654;726759;269366;26320;101716;25996;30755;26217;74266;194607;176551;114047;187989;50849;38346;11559;316575;136802;411810;166524;217570;424402;214963;111080;246304;51938
"08.03.2015 Initiative «Steuerfreie Kinderzulagen»";"Stimmberechtigte";5254965;901654;726759;269366;26320;101716;25996;30755;26217;74266;194607;176551;114047;187989;50849;38346;11559;316575;136802;411810;166524;217570;424402;214963;111080;246304;51938
"30.11.2014 Gold-Initiative";"Stimmberechtigte";5247512;900004;726452;268971;26349;101381;26035;30677;26288;73977;194133;176550;114138;187690;50863;38263;11521;316462;136475;411295;165943;217420;423570;214327;110888;245977;51863
"30.11.2014 Initiative «Stopp der Überbevölkerung (ECOPOP)»";"Stimmberechtigte";5247512;900004;726452;268971;26349;101381;26035;30677;26288;73977;194133;176550;114138;187690;50863;38263;11521;316462;136475;411295;165943;217420;423570;214327;110888;245977;51863
"30.11.2014 Initiative zur Abschaffung der Pauschalbesteuerung";"Stimmberechtigte";5247512;900004;726452;268971;26349;101381;26035;30677;26288;73977;194133;176550;114138;187690;50863;38263;11521;316462;136475;411295;165943;217420;423570;214327;110888;245977;51863
"28.09.2014 Initiative «Für eine öffentliche Krankenkasse»";"Stimmberechtigte";5240134;898552;725925;268521;26346;101112;25976;30679;26242;73690;193445;176558;114188;187380;50796;38200;11513;316267;136567;410756;165766;217292;422483;213981;111006;245128;51765
"28.09.2014 Initiative «Schluss mit der MwSt-Diskriminierung des Gastgewerbes!»";"Stimmberechtigte";5240134;898552;725925;268521;26346;101112;25976;30679;26242;73690;193445;176558;114188;187380;50796;38200;11513;316267;136567;410756;165766;217292;422483;213981;111006;245128;51765
"18.05.2014 Beschaffung des Kampfflugzeugs Gripen";"Stimmberechtigte";5221880;894481;724427;267190;26278;100869;25905;30635;26153;73338;192276;176119;114051;187247;50681;38330;11473;315484;136545;409013;165327;216495;420643;212905;110691;243676;51648
"18.05.2014 Mindestlohn-Initiative";"Stimmberechtigte";5221880;894481;724427;267190;26278;100869;25905;30635;26153;73338;192276;176119;114051;187247;50681;38330;11473;315484;136545;409013;165327;216495;420643;212905;110691;243676;51648
"18.05.2014 Initiative «Pädophile sollen nicht mehr mit Kindern arbeiten dürfen»";"Stimmberechtigte";5221880;894481;724427;267190;26278;100869;25905;30635;26153;73338;192276;176119;114051;187247;50681;38330;11473;315484;136545;409013;165327;216495;420643;212905;110691;243676;51648
"18.05.2014 Medizinische Grundversorgung";"Stimmberechtigte";5221880;894481;724427;267190;26278;100869;25905;30635;26153;73338;192276;176119;114051;187247;50681;38330;11473;315484;136545;409013;165327;216495;420643;212905;110691;243676;51648
"09.02.2014 Initiative «Gegen Masseneinwanderung»";"Stimmberechtigte";5211681;892236;724046;266315;26238;100884;25846;30655;26149;73385;191685;175704;113929;187103;50584;38110;11447;314787;136368;407796;164958;215852;419300;212535;110629;243652;51488
