Zürich;Bern / Berne;Luzern;Uri;Schwyz;Obwalden;Nidwalden;Glarus;Zug;Fribourg / Freiburg;Solothurn;Basel-Stadt;Basel-Landschaft;Schaffhausen;Appenzell Ausserrhoden;Appenzell Innerrhoden;St. Gallen;Graubünden / Grigioni / Grischun;Aargau;Thurgau;Ticino;Vaud;Valais / Wallis;Neuchâtel;Genève
918806;732704;273702;26543;103338;26485;31015;26348;75678;198479;178722;114182;188725;51408;38747;11703;319617;137699;419296;169740;220035;435066;218830;112006;255267
917761;732699;273315;26549;103090;26360;30977;26318;75452;198106;178641;114227;188591;51349;38768;11692;319903;137697;418359;169494;219560;433408;218417;111910;253988
917761;732699;273315;26549;103090;26360;30977;26318;75452;198106;178641;114227;188591;51349;38768;11692;319903;137697;418359;169494;219560;433408;218417;111910;253988
917761;732699;273315;26549;103090;26360;30977;26318;75452;198106;178641;114227;188591;51349;38768;11692;319903;137697;418359;169494;219560;433408;218417;111910;253988
914320;731290;272852;26462;102726;26277;30919;26307;75207;197116;177994;114236;188237;51295;38651;11683;318925;137587;416963;168872;219306;431220;217557;111678;253268
914320;731290;272852;26462;102726;26277;30919;26307;75207;197116;177994;114236;188237;51295;38651;11683;318925;137587;416963;168872;219306;431220;217557;111678;253268
914320;731290;272852;26462;102726;26277;30919;26307;75207;197116;177994;114236;188237;51295;38651;11683;318925;137587;416963;168872;219306;431220;217557;111678;253268
914320;731290;272852;26462;102726;26277;30919;26307;75207;197116;177994;114236;188237;51295;38651;11683;318925;137587;416963;168872;219306;431220;217557;111678;253268
914320;731290;272852;26462;102726;26277;30919;26307;75207;197116;177994;114236;188237;51295;38651;11683;318925;137587;416963;168872;219306;431220;217557;111678;253268
912538;730450;272213;26413;102690;26286;30941;26309;75192;196710;177793;113979;188192;51196;38665;11669;318446;137629;415963;168507;218853;429852;217432;111504;251216
912538;730450;272213;26413;102690;26286;30941;26309;75192;196710;177793;113979;188192;51196;38665;11669;318446;137629;415963;168507;218853;429852;217432;111504;251216
912538;730450;272213;26413;102690;26286;30941;26309;75192;196710;177793;113979;188192;51196;38665;11669;318446;137629;415963;168507;218853;429852;217432;111504;251216
912538;730450;272213;26413;102690;26286;30941;26309;75192;196710;177793;113979;188192;51196;38665;11669;318446;137629;415963;168507;218853;429852;217432;111504;251216
903592;727478;270219;26350;101635;26129;30731;26184;74399;195331;176945;113949;187734;50863;38414;11571;317097;136806;413193;167060;217953;425616;215458;111236;247142
903592;727478;270219;26350;101635;26129;30731;26184;74399;195331;176945;113949;187734;50863;38414;11571;317097;136806;413193;167060;217953;425616;215458;111236;247142
903592;727478;270219;26350;101635;26129;30731;26184;74399;195331;176945;113949;187734;50863;38414;11571;317097;136806;413193;167060;217953;425616;215458;111236;247142
903592;727478;270219;26350;101635;26129;30731;26184;74399;195331;176945;113949;187734;50863;38414;11571;317097;136806;413193;167060;217953;425616;215458;111236;247142
901654;726759;269366;26320;101716;25996;30755;26217;74266;194607;176551;114047;187989;50849;38346;11559;316575;136802;411810;166524;217570;424402;214963;111080;246304
901654;726759;269366;26320;101716;25996;30755;26217;74266;194607;176551;114047;187989;50849;38346;11559;316575;136802;411810;166524;217570;424402;214963;111080;246304
900004;726452;268971;26349;101381;26035;30677;26288;73977;194133;176550;114138;187690;50863;38263;11521;316462;136475;411295;165943;217420;423570;214327;110888;245977
900004;726452;268971;26349;101381;26035;30677;26288;73977;194133;176550;114138;187690;50863;38263;11521;316462;136475;411295;165943;217420;423570;214327;110888;245977
900004;726452;268971;26349;101381;26035;30677;26288;73977;194133;176550;114138;187690;50863;38263;11521;316462;136475;411295;165943;217420;423570;214327;110888;245977
898552;725925;268521;26346;101112;25976;30679;26242;73690;193445;176558;114188;187380;50796;38200;11513;316267;136567;410756;165766;217292;422483;213981;111006;245128
898552;725925;268521;26346;101112;25976;30679;26242;73690;193445;176558;114188;187380;50796;38200;11513;316267;136567;410756;165766;217292;422483;213981;111006;245128
894481;724427;267190;26278;100869;25905;30635;26153;73338;192276;176119;114051;187247;50681;38330;11473;315484;136545;409013;165327;216495;420643;212905;110691;243676
894481;724427;267190;26278;100869;25905;30635;26153;73338;192276;176119;114051;187247;50681;38330;11473;315484;136545;409013;165327;216495;420643;212905;110691;243676
894481;724427;267190;26278;100869;25905;30635;26153;73338;192276;176119;114051;187247;50681;38330;11473;315484;136545;409013;165327;216495;420643;212905;110691;243676
